rivnumb,rivalry,rivala,rivalb,beginr,endr,totdisp,rivtyp2,rivtypold
440,200368,200,368,19230113,19230115,1,ISOLATED,ISOLATED
441,200375,200,375,19411206,19440919,2,ISOLATED,ISOLATED
443,200380,200,380,19400515,19401030,1,ISOLATED,ISOLATED
10442,200380,200,380,19150301,19170531,3,ISOLATED,ISOLATED
444,200385,200,385,19141129,19141129,1,ISOLATED,ISOLATED
445,200385,200,385,19400216,19400325,1,ISOLATED,ISOLATED
447,200390,200,390,19400110,19400320,1,ISOLATED,ISOLATED
448,200390,200,390,19610331,19610531,2,ISOLATED,ISOLATED
10449,200395,200,395,19580827,19760601,4,RIVALRY,PROTO
451,200500,200,500,19741107,19750231,1,ISOLATED,ISOLATED
452,200552,200,552,19651203,19660823,1,ISOLATED,ISOLATED
453,200600,200,600,19040612,19040628,1,ISOLATED,ISOLATED
455,200630,200,630,18560701,18570314,1,ISOLATED,ISOLATED
456,200630,200,630,19100315,19101014,1,ISOLATED,ISOLATED
457,200630,200,630,19460802,19510908,2,ISOLATED,ISOLATED
10458,200630,200,630,19840710,19861126,4,ISOLATED,ISOLATED
459,200640,200,640,18270816,19340716,14,RIVALRY,ENDURING
462,200645,200,645,19410430,19410523,1,ISOLATED,ISOLATED
463,200645,200,645,19580715,20011003,19,RIVALRY,ENDURING
464,200651,200,651,18820703,18820915,1,ISOLATED,ISOLATED
465,200651,200,651,19420204,19581024,5,RIVALRY,PROTO
